timestamp,date,time,open,high,low,close,volume
1767308400000,2026-01-01,23:00:00,4323.698,4332.848,4323.198,4326.798,0.118
1767308700000,2026-01-01,23:05:00,4326.898,4332.798,4326.835,4332.678,0.0786
1767309000000,2026-01-01,23:10:00,4332.698,4335.055,4328.775,4330.625,0.0552
1767309300000,2026-01-01,23:15:00,4330.555,4334.075,4327.865,4333.955,0.0459
1767309600000,2026-01-01,23:20:00,4333.985,4340.315,4332.425,4339.565,0.0689
1767309900000,2026-01-01,23:25:00,4339.585,4342.505,4336.835,4339.515,0.0894
1767310200000,2026-01-01,23:30:00,4339.605,4340.725,4338.015,4339.568,0.04
1767310500000,2026-01-01,23:35:00,4340.185,4343.915,4338.685,4340.145,0.071
1767310800000,2026-01-01,23:40:00,4340.135,4345.505,4338.445,4344.965,0.0588
1767311100000,2026-01-01,23:45:00,4345.025,4345.495,4341.655,4342.485,0.0766
1767311400000,2026-01-01,23:50:00,4342.505,4347.225,4341.528,4347.225,0.0733
1767311700000,2026-01-01,23:55:00,4346.965,4351.005,4346.485,4347.805,0.0874
1767312000000,2026-01-02,00:00:00,4347.798,4348.645,4344.718,4346.035,0.0659
1767312300000,2026-01-02,00:05:00,4345.995,4350.215,4344.095,4349.825,0.0638
1767312600000,2026-01-02,00:10:00,4349.795,4352.725,4347.035,4347.715,0.0751
1767312900000,2026-01-02,00:15:00,4347.675,4349.185,4344.145,4344.255,0.0479
1767313200000,2026-01-02,00:20:00,4344.265,4347.105,4342.285,4343.165,0.0817
1767313500000,2026-01-02,00:25:00,4343.145,4346.898,4341.075,4346.605,0.1016
1767313800000,2026-01-02,00:30:00,4346.598,4348.655,4346.258,4348.035,0.1786
1767314100000,2026-01-02,00:35:00,4347.948,4350.405,4347.048,4348.265,0.1845
1767314400000,2026-01-02,00:40:00,4348.285,4350.595,4346.248,4349.375,0.1803
1767314700000,2026-01-02,00:45:00,4349.435,4352.905,4349.375,4351.565,0.1421
1767315000000,2026-01-02,00:50:00,4351.545,4352.798,4350.398,4351.995,0.1149
1767315300000,2026-01-02,00:55:00,4351.975,4355.545,4350.775,4353.715,0.159
1767315600000,2026-01-02,01:00:00,4353.695,4355.575,4346.895,4347.785,0.1547
1767315900000,2026-01-02,01:05:00,4347.695,4350.085,4345.045,4346.045,0.1468
1767316200000,2026-01-02,01:10:00,4346.015,4350.805,4345.665,4346.315,0.1351
1767316500000,2026-01-02,01:15:00,4346.445,4349.495,4344.785,4348.895,0.1374
1767316800000,2026-01-02,01:20:00,4348.965,4349.655,4345.735,4346.065,0.182
1767317100000,2026-01-02,01:25:00,4345.975,4349.305,4344.295,4348.975,0.2244
1767317400000,2026-01-02,01:30:00,4348.975,4351.115,4348.495,4349.365,0.2246
1767317700000,2026-01-02,01:35:00,4349.285,4351.295,4347.795,4348.505,0.2157
1767318000000,2026-01-02,01:40:00,4348.498,4349.455,4345.325,4346.215,0.1757
1767318300000,2026-01-02,01:45:00,4346.475,4352.005,4345.815,4351.945,0.1744
1767318600000,2026-01-02,01:50:00,4351.975,4354.295,4350.005,4350.005,0.1381
